amor|sentimento profundo de afeição
pintor|artista que usa tinta
piano|instrumento musical de teclas
carinho|gesto de afeto e cuidado
natureza|totalidade do mundo físico
espelho|superfície reflexiva
livraria|lugar que vende livros
teatro|arte de atuar em palco
festa|celebração com convidados
gato|animal de estimação independente
sabores|sensações gustativas
violão|instrumento musical de cordas
guitarra|instrumento de cordas dedilhadas
cinema|arte de produzir filmes
poema|composição literária em versos
romance|narrativa de amor
cultura|conjunto de costumes de um povo
biscoito|doce assado e crocante
linguagem|sistema de comunicação
sabedoria|conhecimento profundo
resenha|análise crítica de uma obra
invenção|criação de algo novo
artista|pessoa que cria arte
fantasia|imaginação criativa
documentário|filme informativo
trilha|caminho em áreas naturais
tatuagem|desenho permanente na pele
elefante|grande mamífero terrestre
oceanos|extensas massas de água salgada
cordeiro|jovem ovino
cavalo|animal de montaria
relacionamento|vínculo entre pessoas
meditação|prática de foco e reflexão
esperança|sentimento positivo em relação ao futuro
solidão|estado de estar só
trem|meio de transporte sobre trilhos
vulcão|montanha que expele lava
pedra|material sólido e duro
flores|plantas com pétalas coloridas
caminho|rota que se segue
trilha|caminho em meio à natureza
sabão|produto para limpar
violência|uso de força contra alguém
liberdade|estado de ser livre
vontade|desejo de fazer algo
coração|órgão vital do corpo
universidade|instituição de ensino superior
horizonte|linha que separa céu e terra
gratidão|apreciação por algo recebido
caminhar|andar de forma tranquila
praia|lugar de areia à beira-mar
barco|meio de transporte aquático
nuvem|massa de vapor na atmosfera
quimera|criatura mitológica
coração|símbolo do amor
sábio|pessoa que possui sabedoria
semente|parte da planta que germina
paz|estado de tranquilidade
tigre|grande felino selvagem
mergulhar|entrar na água
guitarra|instrumento musical de cordas
parque|área verde para lazer
memória|capacidade de lembrar
luz|radiação que ilumina
férias|tempo de descanso
roda|objeto circular que gira
estilo|maneira de se expressar
viver|experienciar a vida
mestre|professor ou guia em uma área
quimera|criatura mitológica
paradoxo|afirmação contraditória
cacofonia|som desagradável
epifania|revelação súbita
melancolia|sentimento de tristeza
narciso|flores que refletem vaidade
serendipidade|descoberta acidental de algo bom
onírico|relativo aos sonhos
sagacidade|astúcia e inteligência
anacronismo|algo fora do seu tempo
eufonia|som harmonioso
cacofonias|mistura de sons ruins
antítese|oposição de ideias
elucidação|ato de esclarecer
metáfora|comparação implícita
abstrato|algo que não é concreto
dinamismo|qualidade de ser ativo
oxímoro|união de opostos
paradigma|modelo ou padrão
intricado|complexo e complicado
resiliência|capacidade de se recuperar
efêmero|que dura pouco
incandescente|que brilha intensamente
iconoclasta|quem desafia tradições
dissonância|falta de harmonia
exuberante|cheio de vida e energia
inexorável|que não pode ser mudado
heterogeneidade|diversidade de elementos
magnanimidade|generosidade em grande escala
filantropia|amor ao próximo
enigmas|mistérios ou quebra-cabeças
solilóquio|discurso de uma pessoa sozinha
metálicos|relativo a metais
perplexidade|confusão ou espanto
abissal|relativo ao fundo do mar
fascículo|parte de uma obra maior
nebuloso|vago ou impreciso
transcendental|que vai além do comum
aforismo|dizer conciso e profundo
infalível|que não falha
eclético|diversificado, que mistura estilos
corrosivo|que destrói por contato
abstracionismo|movimento artístico
anacrônico|algo fora de seu tempo
parcialidade|favoritismo
inefável|inexplicável, indescritível
heterodoxo|não convencional
metafísica|filosofia que estuda o ser
procriação|ato de gerar filhos
subversão|ato de derrubar o estabelecido
epistemologia|teoria do conhecimento
dilema|situação difícil com opções difíceis
ambiguidade|duplo sentido
perpetuidade|estado de ser eterno
anomia|falta de normas
paranóia|desconfiança excessiva
vulgaridade|falta de refinamento
sustentabilidade|prática de preservar recursos
tétrico|sombrio ou sinistro
insólito|algo extraordinário
esdrúxulo|palavra com acento em antepenúltima
ascetismo|prática de austeridade
paroxismo|ataque súbito e violento
intransigente|que não cede
procrastinação|adiar tarefas
cognitivo|relativo ao conhecimento
resiliência|capacidade de adaptação
sublime|algo grandioso
nebulização|formação de névoa
sarcástico|irônico de forma mordaz
metanoia|mudança de pensamento
idiossincrasia|característica peculiar de uma pessoa
perfunctório|algo feito de maneira superficial
atavismo|retorno a características ancestrais
indelével|que não pode ser apagado
serpenteante|que se move em curvas
neologismo|nova palavra ou expressão
catarse|liberação emocional
precariedade|condição instável ou insegura
antagonismo|oposição entre forças
ubíquos|presentes em todos os lugares
miasma|ar poluído ou viciado
exacerbar|aumentar algo de forma intensa
transitoriedade|qualidade de ser passageiro
vitriol|crítica mordaz
panaceia|cura para todas as doenças
sibilante|som agudo e chiado
eclodir|surgir, nascer
inanidade|futilidade ou vazio
paradigma|modelo a ser seguido
fugaz|que passa rapidamente
melífluo|som doce e suave
antropocentrismo|visão centrada no ser humano
inexorável|que não se pode evitar
clímax|ponto mais alto de uma narrativa
temerário|ousado de forma imprudente
obsolescência|processo de se tornar ultrapassado
delírio|estado de confusão mental
conspiração|plano secreto entre pessoas
complacente|que demonstra condescendência
taciturno|pessoa que fala pouco
fortuito|que acontece por acaso
malefício|ato de causar dano
introspecção|análise interior
cognizância|conhecimento ou consciência
transcendente|que vai além do normal
abstracionismo|movimento artístico não figurativo
nefasta|algo que causa mal
insípido|sem sabor ou interesse
ubiquidade|estado de estar em vários lugares
inequívoco|claro, sem possibilidade de erro
persuasão|ato de convencer
subterfúgio|estratégia para evitar algo
disruptivo|que quebra normas estabelecidas
imperturbável|calmo em situações de estresse
epistolar|relativo a cartas
dissonante|não harmônico
deferência|respeito por outra pessoa
inconteste|que não pode ser contestado
corolário|consequência lógica
intempéries|condições climáticas adversas
ascendência|origem ou linhagem
polivalente|que tem várias funções
visceral|intenso, profundo
metanoia|mudança de mentalidade
idiossincrático|peculiar a um indivíduo
prolixo|que fala ou escreve em excesso
insigne|notável, ilustre
intransigente|que não aceita concessões
celeridade|rapidez ou agilidade
espectro|imagem ou fantasma
abstrato|algo que não tem forma concreta
emergente|que surge de repente
antipatia|aversion a algo ou alguém
desiderato|algo desejado ou almejado
empatia|capacidade de se colocar no lugar do outro
infortúnio|desgraça ou má sorte
inovador|que introduz novidades
soturno|sombrio, melancólico
inexorável|que não se pode evitar
místico|relativo ao sagrado ou ao oculto
intransigência|rigidez em opiniões
morosidade|lentidão excessiva
efêmero|que dura pouco tempo
subliminar|que está abaixo do nível da consciência
teorema|proposição matemática
procrastinação|adiamento de tarefas
acurácia|exatidão ou precisão
parcimonioso|que é econômico
abominável|que causa repulsa
cacofonia|mistura desagradável de sons
ecletismo|mistura de estilos diferentes
dissonância|falta de harmonia
epistemologia|teoria do conhecimento
fugacidade|qualidade de ser passageiro
heráldica|estudo de brasões e escudos
iconoclasta|quem desafia tradições
juxtaposição|posição lado a lado
maledicência|falar mal de alguém
nomenclatura|sistema de nomes
obstinação|teimosia ou firmeza excessiva
paroxismo|acesso súbito de emoção
quixotesco|idealista ou romântico
recalcitrante|que resiste a mudanças
sagacidade|inteligência perspicaz
translúcido|que deixa passar luz
uxoricídio|morte da esposa por parte do marido
vicariedade|substituição por outra pessoa
inextricável|que não pode ser desenredado
zenital|relativo ao zênite
alucinação|percepção de algo que não existe
bizarro|estranho ou excêntrico
cerimonial|relativo a rituais
discrepância|diferença ou desvio
epifania|revelação súbita
filantropo|pessoa que ama a humanidade
glamour|atração ou charme
heterodoxo|não convencional
impermanente|que não é permanente
juízo|opinião ou avaliação
kaleidoscópio|instrumento que cria padrões coloridos
languidez|falta de energia
metafísico|relativo ao além do físico
nebuloso|vago ou impreciso
oligárquico|relativo a um governo de poucos
paradigma|modelo ou padrão
quixotesco|idealista e romântico
resiliência|capacidade de recuperação
sibilante|som agudo e chiado
tenebroso|sombrio e assustador
ubiquidade|estado de estar em muitos lugares
vitalidade|energia ou vigor
xenofobia|medo do estrangeiro
zênite|ponto mais alto no céu
anacronismo|algo fora do seu tempo
cacofonias|mistura de sons ruins
destilar|extrair lentamente
exacerbar|aumentar algo de forma intensa
frugalidade|economia e simplicidade
gênese|origem ou formação
hipérbole|exagero para efeito
intransigente|que não aceita concessões
juventude|período da vida entre infância e maturidade
larva|estágio inicial de um inseto
magnânimo|generoso e nobre
neologismo|nova palavra ou expressão
obscurantismo|resistência ao conhecimento
parcialidade|favoritismo
quimera|criação ilusória
resplandecente|brilhante e luminoso
sarcástico|irônico de forma mordaz
tenacidade|persistência ou firmeza
ubíquo|que está presente em todos os lugares
venerável|respeitável ou digno de veneração
xilogravura|gravura feita em madeira
yeti|criatura mítica semelhante a um homem das neves
zoológico|local onde animais são mantidos
anátema|algo que é repudiado
cacofonias|mistura desagradável de sons
dilema|situação difícil com duas opções
enciclopédia|obra de referência sobre diversos temas
floresta|grande área coberta por árvores
